"STT","Folder","ID","Angle"
"No. 172","train1","1570","0"
"No. 173","train1","1571","0"
"No. 174","train1","1572","0"
"No. 175","train1","1574","-5"
"No. 176","train1","1575","2"
"No. 177","train1","1576","-20"
"No. 178","train1","1577","-5"
"No. 179","train1","1578","7"
"No. 180","train1","1580","0"
"No. 181","train1","1581","-2"
"No. 182","train1","1582","0"
"No. 183","train1","1584","3"
"No. 184","train1","1585","-5"
"No. 185","train1","1586","0"
"No. 186","train1","1587","0"
"No. 187","train1","1588","5"
"No. 188","train1","1589","0"
"No. 189","train1","1590","3"
"No. 190","train1","1591","-5"
"No. 191","train1","1592","20"
"No. 192","train1","1593","0"
"No. 193","train1","1594","-5"
"No. 194","train1","1595","-5"
"No. 195","train1","1596","-3"
"No. 196","train1","1597","10"
"No. 197","train1","1598","-3"
"No. 198","train1","1599","-5"
"No. 199","train1","1600","-5"
"No. 200","train1","1601","0"
"No. 201","train1","1602","3"
"No. 202","train1","1604","0"
"No. 203","train1","1605","-5"
"No. 204","train1","1606","0"
"No. 205","train1","1607","10"
"No. 206","train1","1608","0"
"No. 207","train1","1609","10"
"No. 208","train1","1610","5"
"No. 209","train1","1612","3"
"No. 210","train1","1613","-3"
"No. 211","train1","1614","-8"
"No. 212","train1","1615","0"
"No. 213","train1","1616","-5"
"No. 214","train1","1617","0"
"No. 215","train1","1618","0"
"No. 216","train1","1619","-5"
"No. 217","train1","1620","3"
"No. 218","train1","1621","0"
"No. 219","train1","1623","3"
"No. 220","train1","1624","0"
"No. 221","train1","1625","-5"
"No. 222","train1","1626","0"
"No. 223","train1","1627","-3"
"No. 224","train1","1628","0"
"No. 225","train1","1629","7"
"No. 226","train1","1630","-3"
"No. 227","train1","1631","5"
"No. 228","train1","1632","0"
"No. 229","train1","1634","2"
"No. 230","train1","1635","5"
"No. 231","train1","1636","2"
"No. 232","train1","1637","-3"
"No. 233","train1","1638","-3"
"No. 234","train1","1639","0"
"No. 235","train1","1640","0"
"No. 236","train1","1641","3"
"No. 237","train1","1642","3"
"No. 238","train1","1643","0"
"No. 239","train1","1644","0"
"No. 240","train1","1645","-10"
"No. 241","train1","1646","3"
"No. 242","train1","1647","0"
"No. 243","train1","1648","3"
"No. 244","train1","1649","0"
"No. 245","train1","1650","0"
"No. 246","train1","1651","0"
"No. 247","train1","1652","0"
"No. 248","train1","1653","0"
"No. 249","train1","1654","-40"
"No. 250","train1","1656","0"
"No. 251","train1","1658","0"
"No. 252","train1","1659","5"
"No. 253","train1","1660","-15"
"No. 254","train1","1661","0"
"No. 255","train1","1662","-5"
"No. 256","train1","1663","0"
"No. 257","train1","1664","0"
"No. 258","train1","1665","0"
"No. 259","train1","1666","0"
"No. 260","train1","1667","0"
"No. 261","train1","1668","3"
"No. 262","train1","1669","0"
"No. 263","train1","1670","5"
"No. 264","train1","1671","-3"
"No. 265","train1","1672","5"
"No. 266","train1","1673","3"
"No. 267","train1","1674","0"
"No. 268","train1","1675","5"
"No. 269","train1","1677","0"
"No. 270","train1","1678","-30"
"No. 271","train1","1679","0"
"No. 272","train1","1680","0"
"No. 273","train1","1681","0"
"No. 274","train1","1682","-3"
"No. 275","train1","1683","30"
"No. 276","train1","1684","-20"
"No. 277","train1","1685","0"
"No. 278","train1","1686","5"
"No. 279","train1","1688","0"
"No. 280","train1","1689","10"
"No. 281","train1","1690","0"
"No. 282","train1","1691","5"
"No. 283","train1","1692","-5"
"No. 284","train1","1694","-5"
"No. 285","train1","1695","3"
"No. 286","train1","1696","0"
"No. 287","train1","1697","0"
"No. 288","train1","1698","5"
"No. 289","train1","1699","-3"
"No. 290","train1","1700","0"
"No. 291","train1","1701","0"
"No. 292","train1","1702","0"
"No. 293","train1","1703","-5"
"No. 294","train1","1704","0"
"No. 295","train1","1705","-3"
"No. 296","train1","1706","5"
"No. 297","train1","1707","0"
"No. 298","train1","1708","-5"
"No. 299","train1","1709","0"
"No. 300","train1","1710","-5"
"No. 301","train1","1711","0"
"No. 302","train1","1712","-5"
"No. 303","train1","1713","-5"
"No. 304","train1","1714","-40"
"No. 305","train1","1715","-30"
"No. 306","train1","1716","-5"
"No. 307","train1","1717","0"
"No. 308","train1","1718","-10"
"No. 309","train1","1719","35"
"No. 310","train1","1720","5"
"No. 311","train1","1721","0"
"No. 312","train1","1722","0"
"No. 313","train1","1723","0"
"No. 314","train1","1724","0"
"No. 315","train1","1725","0"
"No. 316","train1","1726","-3"
"No. 317","train1","1727","0"
"No. 318","train1","1728","0"
"No. 319","train1","1729","20"
"No. 320","train1","1730","0"
"No. 321","train1","1732","0"
"No. 322","train1","1733","-10"
"No. 323","train1","1734","0"
"No. 324","train1","1736","5"
"No. 325","train1","1737","-30"
"No. 326","train1","1738","-30"
"No. 327","train1","1739","-10"
"No. 328","train1","1741","0"
"No. 329","train1","1742","0"
"No. 330","train1","1743","10"
"No. 331","train1","1744","5"
"No. 332","train1","1745","-20"
"No. 333","train1","1746","0"
"No. 334","train1","1747","-3"
"No. 335","train1","1748","0"
"No. 336","train1","1750","0"
"No. 337","train1","1751","-5"
"No. 338","train1","1752","0"
"No. 339","train1","1753","0"
"No. 340","train1","1754","0"
"No. 341","train1","1755","0"
"No. 342","train1","1756","0"
"No. 343","train1","1757","0"
"No. 344","train1","1758","0"
"No. 345","train1","1759","0"
"No. 346","train1","1761","0"
"No. 347","train1","1762","0"
"No. 348","train1","1763","-3"
"No. 349","train1","1764","0"
"No. 350","train1","1765","0"
"No. 351","train1","1766","3"
"No. 352","train1","1767","0"
"No. 353","train1","1768","0"
"No. 354","train1","1771","-30"
"No. 355","train1","1772","-3"
"No. 356","train1","1775","-5"
"No. 357","train1","1776","3"
"No. 358","train1","1777","10"
"No. 359","train1","1778","0"
"No. 360","train1","1779","L"
"No. 361","train1","1780","5"
"No. 362","train1","1781","5"
"No. 363","train1","1782","0"
"No. 364","train1","1783","0"
"No. 365","train1","1784","-5"
"No. 366","train1","1785","-5"
"No. 367","train1","1786","0"
"No. 368","train1","1787","0"
"No. 369","train1","1789","0"
"No. 370","train1","1790","0"
"No. 371","train1","1791","0"
"No. 372","train1","1792","-5"
"No. 373","train1","1793","5"
"No. 374","train1","1794","0"
"No. 375","train1","1796","0"
"No. 376","train1","1797","0"
"No. 377","train1","1798","0"
"No. 378","train1","1799","-30"
"No. 379","train1","1800","0"
"No. 380","train1","1801","0"
"No. 381","train1","1802","0"
"No. 382","train1","1803","0"
"No. 383","train1","1804","5"
"No. 384","train1","1806","0"
"No. 385","train1","1807","0"
"No. 386","train1","1808","0"
"No. 387","train1","1810","-5"
"No. 388","train1","1811","0"
"No. 389","train1","1812","0"
"No. 390","train1","1813","0"
"No. 391","train1","1814","-40"
"No. 392","train1","1815","0"
"No. 393","train1","1816","0"
"No. 394","train1","1817","0"
"No. 395","train1","1818","0"
"No. 396","train1","1819","5"
"No. 397","train1","1820","-5"
"No. 398","train1","1821","0"
"No. 399","train1","1823","30"
"No. 400","train1","1825","0"
"No. 401","train1","1826","40"
"No. 402","train1","1827","0"
"No. 403","train1","1828","0"
"No. 404","train1","1829","-5"
"No. 405","train1","1830","0"
"No. 406","train1","1831","-10"
"No. 407","train1","1832","5"
"No. 408","train1","1833","0"
"No. 409","train1","1834","0"
"No. 410","train1","1835","5"
"No. 411","train1","1837","-5"
"No. 412","train1","1838","3"
"No. 413","train1","1839","-5"
"No. 414","train1","1840","-50"
"No. 415","train1","1841","0"
"No. 416","train1","1843","0"
"No. 417","train1","1844","0"
"No. 418","train1","1845","0"
"No. 419","train1","1846","0"
"No. 420","train1","1848","0"
"No. 421","train1","1849","-5"
"No. 422","train1","1850","0"
"No. 423","train1","1851","0"
"No. 424","train1","1852","-5"
"No. 425","train1","1853","-5"
"No. 426","train1","1854","0"
"No. 427","train1","1855","-10"
"No. 428","train1","1856","5"
"No. 429","train1","1857","5"
"No. 430","train1","1858","0"
"No. 431","train1","1860","0"
"No. 432","train1","1863","10"
"No. 433","train1","1864","0"
"No. 434","train1","1865","0"
"No. 435","train1","1866","-5"
"No. 436","train1","1867","5"
"No. 437","train1","1868","-20"
"No. 438","train1","1869","5"
"No. 439","train1","1870","-5"
"No. 440","train1","1871","0"
"No. 441","train1","1872","0"
"No. 442","train1","1873","0"
"No. 443","train1","1874","0"
"No. 444","train1","1876","0"
"No. 445","train1","1877","0"
"No. 446","train1","1878","0"
"No. 447","train1","1879","0"
"No. 448","train1","1880","5"
"No. 449","train1","1883","-5"
"No. 450","train1","1884","10"
"No. 451","train1","1885","0"
"No. 452","train1","1886","-10"
"No. 453","train1","1887","0"
"No. 454","train1","1888","0"
"No. 455","train1","1889","-5"
"No. 456","train1","1891","0"
"No. 457","train1","1892","-5"
"No. 458","train1","1893","-10"
"No. 459","train1","1894","0"
"No. 460","train1","1895","5"
"No. 461","train1","1896","0"
"No. 462","train1","1897","0"
"No. 463","train1","1898","0"
"No. 464","train1","1899","0"
"No. 465","train1","1901","0"
"No. 466","train1","1902","0"
"No. 467","train1","1903","0"
"No. 468","train1","1904","5"
"No. 469","train1","1905","-30"
"No. 470","train1","1906","0"
"No. 471","train1","1907","0"
"No. 472","train1","1909","-5"
"No. 473","train1","1910","0"
"No. 474","train1","1911","10"
"No. 475","train1","1912","-10"
"No. 476","train1","1913","0"
"No. 477","train1","1915","0"
"No. 478","train1","1916","0"
"No. 479","train1","1917","0"
"No. 480","train1","1918","0"
"No. 481","train1","1919","5"
"No. 482","train1","1920","5"
"No. 483","train1","1921","-5"
"No. 484","train1","1922","0"
"No. 485","train1","1923","-5"
"No. 486","train1","1925","0"
"No. 487","train1","1926","-3"
"No. 488","train1","1927","-5"
"No. 489","train1","1928","0"
"No. 490","train1","1929","-7"
"No. 491","train1","1931","-10"
"No. 492","train1","1932","-10"
"No. 493","train1","1933","0"
"No. 494","train1","1934","0"
"No. 495","train1","1935","0"
"No. 496","train1","1936","5"
"No. 497","train1","1937","0"
"No. 498","train1","1938","10"
"No. 499","train1","1939","0"
"No. 500","train1","1940","30"
